source	type	target	context	_articleid
Alvarez PLC	Event.Aid	Marine Sanctuary	Aid to preserve vital ecosystems	Alvarez PLC__0__0__Haacklee Herald
Alvarez PLC	Event.Invest	Efficiency	Strategic investments in efficiency and safety commodities	Alvarez PLC__0__0__Haacklee Herald
Alvarez PLC	Event.Invest	Safety	Strategic investments in efficiency and safety commodities	Alvarez PLC__0__0__Haacklee Herald
Alvarez PLC	Event.Invest	Sustainable_nets	Development of sustainable nets	Alvarez PLC__0__0__Haacklee Herald
Alvarez PLC	Event.Invest	Tracking_System	Development of tracking systems	Alvarez PLC__0__0__Haacklee Herald
Alvarez PLC	Event.Communication.Conference	Clements, Allen and Sullivan	Participation in conferences alongside industry peers	Alvarez PLC__0__0__Haacklee Herald
Alvarez PLC	Event.Communication.Conference	Franco-Stuart	Participation in conferences alongside industry peers	Alvarez PLC__0__0__Haacklee Herald
Alvarez PLC	Event.Aid	Marine Sanctuary	Actively supported marine sanctuary initiatives	Alvarez PLC__0__0__Haacklee Herald
Alvarez PLC	Event.Transaction	Barnett Ltd	Collaborations and transactions	Alvarez PLC__0__0__Haacklee Herald
Alvarez PLC	Event.Transaction	Cain, Simpson, and Hernandez	Collaborations and transactions	Alvarez PLC__0__0__Haacklee Herald
Alvarez PLC	Event.Transaction	Maldonado, Sanchez, and Jones	Collaborations and transactions	Alvarez PLC__0__0__Haacklee Herald
Alvarez PLC	Event.Transaction	Johnson-Johnson	Collaborations and transactions	Alvarez PLC__0__0__Haacklee Herald
Alvarez PLC	Event.Aid	Marine Sanctuary	As of July 2035 it has given $2000 to a local marine sanctuary as aid	Alvarez PLC__0__0__Lomark Daily
Alvarez PLC	Event.Invest	Efficient Sustainable Nets	The company has been investing in efficient sustainable nets	Alvarez PLC__0__0__Lomark Daily
Alvarez PLC	Event.Invest	Tracking System	The company has been investing in a new tracking system	Alvarez PLC__0__0__Lomark Daily
Alvarez PLC	Event.Transaction	Eaton-Osborne	It has also signed multiple fishing transactions with Eaton-Osborne	Alvarez PLC__0__0__Lomark Daily
Alvarez PLC	Event.Transaction	York-Castillo Fishing	It has also signed multiple fishing transactions with York-Castillo fishing	Alvarez PLC__0__0__Lomark Daily
Alvarez PLC	Event.Transaction	Several Logistics Companies	It has also signed multiple fishing transactions with several logistics companies	Alvarez PLC__0__0__Lomark Daily
Alvarez PLC	Event.Fishing	Cervantes-Kramer	Cervantes-Kramer is a local fishing company with long-standing permits for fishing in the Wrasse Beds area	Alvarez PLC__0__0__Lomark Daily
Alvarez PLC	Event.CollaborationPartners	Cervantes-Kramer	Cervantes-Kramer is a local fishing company with long-standing permits for fishing in the Wrasse Beds area	Alvarez PLC__0__0__Lomark Daily
Alvarez PLC	Event.Fishing.SustainableFishing	Environmentally Friendly Fishing	The company is committed to sustainable and environmentally friendly fishing	Alvarez PLC__0__0__Lomark Daily
