source	type	target	context	_articleid	new_type	source_len	target_len	source_type	target_type	close_source_name	close_target_name	close_source_score	close_target_score
alvarez plc	Event.Aid	marine_sanctuary	Aid to preserve vital ecosystems	Alvarez PLC__0__0__Haacklee Herald	Positive	11	16	Entity.Organization.FishingCompany		alvarez plc	marine_sanctuary	0	1
alvarez plc	Event.Invest	efficiency	Strategic investments in efficiency and safety commodities	Alvarez PLC__0__0__Haacklee Herald	Positive	11	10	Entity.Organization.FishingCompany	Entity.Commodity	alvarez plc	efficiency	0	0
alvarez plc	Event.Invest	safety	Strategic investments in efficiency and safety commodities	Alvarez PLC__0__0__Haacklee Herald	Neutral	11	6	Entity.Organization.FishingCompany	Entity.Commodity	alvarez plc	safety	0	0
alvarez plc	Event.Invest	sustainable_nets	Development of sustainable nets	Alvarez PLC__0__0__Haacklee Herald	Positive	11	16	Entity.Organization.FishingCompany	Entity.Commodity	alvarez plc	sustainable_nets	0	0
alvarez plc	Event.Invest	tracking_system	Development of tracking systems	Alvarez PLC__0__0__Haacklee Herald	Neutral	11	15	Entity.Organization.FishingCompany	Entity.Commodity	alvarez plc	tracking_system	0	0
alvarez plc	Event.Communication.Conference	clements, allen and sullivan	Participation in conferences alongside industry peers	Alvarez PLC__0__0__Haacklee Herald	Positive	11	28	Entity.Organization.FishingCompany	Entity.Organization.FishingCompany	alvarez plc	clements, allen and sullivan	0	0
alvarez plc	Event.Communication.Conference	franco-stuart	Participation in conferences alongside industry peers	Alvarez PLC__0__0__Haacklee Herald	Neutral	11	13	Entity.Organization.FishingCompany	Entity.Organization.FishingCompany	alvarez plc	franco-stuart	0	0
alvarez plc	Event.Aid	marine_sanctuary	Actively supported marine sanctuary initiatives	Alvarez PLC__0__0__Haacklee Herald	Positive	11	16	Entity.Organization.FishingCompany		alvarez plc	marine_sanctuary	0	1
alvarez plc	Event.Transaction	barnett ltd	Collaborations and transactions	Alvarez PLC__0__0__Haacklee Herald	Positive	11	11	Entity.Organization.FishingCompany	Entity.Organization.FishingCompany	alvarez plc	barnett ltd	0	0
alvarez plc	Event.Transaction	cain, simpson and hernandez	Collaborations and transactions	Alvarez PLC__0__0__Haacklee Herald	Positive	11	28	Entity.Organization.FishingCompany		alvarez plc	cain, simpson and hernandez	0	1
alvarez plc	Event.Transaction	maldonado, sanchez and jones	Collaborations and transactions	Alvarez PLC__0__0__Haacklee Herald	Positive	11	29	Entity.Organization.FishingCompany		alvarez plc	maldonado, sanchez and jones	0	1
alvarez plc	Event.Transaction	johnson-johnson	Collaborations and transactions	Alvarez PLC__0__0__Haacklee Herald	Neutral	11	15	Entity.Organization.FishingCompany	Entity.Organization.Company	alvarez plc	johnson-johnson	0	0
